"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatotLevenshtein record1Value","[0] RestaurantNameComparatotLevenshtein record2Value","[0] RestaurantNameComparatotLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatotLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatotLevenshtein similarity","[0] RestaurantNameComparatotLevenshtein postproccesedSimilarity","[1] RestaurantAddressComparatorLevenshtein record1Value","[1] RestaurantAddressComparatorLevenshtein record2Value","[1] RestaurantAddressComparatorLevenshtein record1PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein record2PreprocessedValue","[1] RestaurantAddressComparatorLevenshtein similarity","[1] RestaurantAddressComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","zomato_4156","yelp_1317","0.2770186335403727",,"aroma","empanada place","aroma","empanada place","0.1428571428571429","0.1428571428571429","2903 w sunset boulevard","3811 sawtelle boulevard","2903 w sunset boulevard","3811 sawtelle boulevard","0.4782608695652174","0.4782608695652174"
"LinearCombinationMatchingRule","zomato_3706","yelp_1452","0.23076923076923075",,"harold belle","pho thai town","harold belle","pho thai town","0.07692307692307687","0.07692307692307687","2920 w jefferson boulevard","5136 hollywood boulevard","2920 w jefferson boulevard","5136 hollywood boulevard","0.46153846153846156","0.46153846153846156"
"LinearCombinationMatchingRule","zomato_4156","yelp_1316","0.26333333333333336",,"aroma","palm thai restaurant","aroma","palm thai restaurant","0.15000000000000002","0.15000000000000002","2903 w sunset boulevard","5900 hollywood boulevard ste b","2903 w sunset boulevard","5900 hollywood boulevard ste b","0.43333333333333335","0.43333333333333335"
"LinearCombinationMatchingRule","zomato_3706","yelp_1453","0.22692307692307692",,"harold belle","wood spoon","harold belle","wood spoon","0.25","0.25","2920 w jefferson boulevard","107 w 9th street","2920 w jefferson boulevard","107 w 9th street","0.1923076923076923","0.1923076923076923"
"LinearCombinationMatchingRule","zomato_3249","yelp_1820","0.2115789473684211",,"mighty mouth burger","tacos el gavilan","mighty mouth burger","tacos el gavilan","0.052631578947368474","0.052631578947368474","11137 woodley avenue","1900 central avenue","11137 woodley avenue","1900 central avenue","0.44999999999999996","0.44999999999999996"
"LinearCombinationMatchingRule","zomato_3249","yelp_1821","0.09523809523809523",,"mighty mouth burger","sopressata black hogg","mighty mouth burger","sopressata black hogg","0.09523809523809523","0.09523809523809523","11137 woodley avenue","2852 sunset boulevard","11137 woodley avenue","2852 sunset boulevard","0.09523809523809523","0.09523809523809523"
"LinearCombinationMatchingRule","zomato_6508","yelp_253","0.14866310160427812",,"belfry","burrito box","belfry","burrito box","0.09090909090909094","0.09090909090909094","222 e 14th street","885 9th avenue","222 e 14th street","885 9th avenue","0.23529411764705888","0.23529411764705888"
"LinearCombinationMatchingRule","zomato_1940","yelp_8019","0.2551111111111111",,"city tavern","crushcraft thai street eats","city tavern","crushcraft thai street eats","0.18518518518518523","0.18518518518518523","1402 main street","2800 routh street ste 150","1402 main street","2800 routh street ste 150","0.36","0.36"
"LinearCombinationMatchingRule","zomato_3299","yelp_1873","0.15844155844155844",,"steingarten","pizzeria mozza","steingarten","pizzeria mozza","0.1428571428571429","0.1428571428571429","10543 w pico boulevard","641 n highland avenue","10543 w pico boulevard","641 n highland avenue","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","zomato_3299","yelp_1872","0.31619047619047624",,"steingarten","new school kitchen","steingarten","new school kitchen","0.2222222222222222","0.2222222222222222","10543 w pico boulevard","11301 w olympic boulevard suite 106","10543 w pico boulevard","11301 w olympic boulevard suite 106","0.4571428571428572","0.4571428571428572"
"LinearCombinationMatchingRule","zomato_2539","yelp_1696","0.22983870967741937",,"tacomiendo","reggie deli cafe","tacomiendo","reggie deli cafe","0.125","0.125","11462 gateway boulevard","1910 w sunset boulevard ste 150","11462 gateway boulevard","1910 w sunset boulevard ste 150","0.3870967741935484","0.3870967741935484"
"LinearCombinationMatchingRule","zomato_6528","yelp_274","0.15058823529411763",,"stk midtown","tiny bar upstairs","stk midtown","tiny bar upstairs","0.11764705882352944","0.11764705882352944","1114 avenue americas","135 w broadway","1114 avenue americas","135 w broadway","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","zomato_92","yelp_2456","0.14370370370370372",,"rios sudamerica","seasons 52","rios sudamerica","seasons 52","0.06666666666666665","0.06666666666666665","2010 w armitage avenue","55 east grand avenue ste g6","2010 w armitage avenue","55 east grand avenue ste g6","0.2592592592592593","0.2592592592592593"
"LinearCombinationMatchingRule","zomato_677","yelp_2744","0.24710424710424705",,"butcher burger","farmer fridge","butcher burger","farmer fridge","0.2857142857142857","0.2857142857142857","1021 w armitage avenue","block thirty seven 108 n state street","1021 w armitage avenue","block thirty seven 108 n state street","0.18918918918918914","0.18918918918918914"
